Date : 2026-05-23 21:15:10
Directory : /home/dev/TFG
Total : 211 files,  19758 codes, 1296 comments, 2566 blanks, all 23620 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/mobile                                                                                         |          8 |        163 |        293 |         58 |        514 |
| src/mobile (Files)                                                                                 |          7 |        122 |        278 |         51 |        451 |
| src/mobile/components                                                                              |          1 |         41 |         15 |          7 |         63 |
| src/pages                                                                                          |         11 |      1,376 |         71 |        144 |      1,591 |
| src/pages (Files)                                                                                  |          1 |          9 |          5 |          5 |         19 |
| src/pages/auth                                                                                     |          3 |        505 |         20 |         60 |        585 |
| src/pages/booking                                                                                  |          1 |          4 |          0 |          2 |          6 |
| src/pages/errors                                                                                   |          1 |         82 |         10 |          8 |        100 |
| src/pages/home                                                                                     |          1 |        760 |         36 |         61 |        857 |
| src/pages/parking                                                                                  |          2 |          8 |          0 |          4 |         12 |
| src/pages/profile                                                                                  |          2 |          8 |          0 |          4 |         12 |
| src/shared                                                                                         |         29 |      1,635 |        162 |        225 |      2,022 |
| src/shared/components                                                                              |         14 |      1,076 |         63 |        119 |      1,258 |
| src/shared/components (Files)                                                                      |          2 |         80 |          0 |         11 |         91 |
| src/shared/components/auth                                                                         |          2 |         37 |         13 |         13 |         63 |
| src/shared/components/calendar                                                                     |          1 |        260 |         16 |         34 |        310 |
| src/shared/components/layout                                                                       |          3 |        277 |          4 |         21 |        302 |
| src/shared/components/loaders                                                                      |          5 |        323 |         29 |         28 |        380 |
| src/shared/components/map                                                                          |          1 |         99 |          1 |         12 |        112 |
| src/shared/hooks                                                                                   |          1 |         15 |          0 |          5 |         20 |
| src/shared/lib                                                                                     |         12 |        258 |         84 |         57 |        399 |
| src/shared/lib (Files)                                                                             |          5 |         97 |         36 |         26 |        159 |
| src/shared/lib/sql                                                                                 |          7 |        161 |         48 |         31 |        240 |
| src/shared/services                                                                                |          1 |         70 |          0 |          9 |         79 |
| src/shared/types                                                                                   |          1 |        216 |         15 |         35 |        266 |
| src/styles                                                                                         |          1 |        217 |         10 |         28 |        255 |
| src/types                                                                                          |          1 |        696 |          0 |          8 |        704 |
| src/ui                                                                                             |         28 |      1,736 |         39 |        219 |      1,994 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/dev/TFG/.eslintrc.cjs                                                                        | JavaScript         |         20 |          0 |          1 |         21 |
| /home/dev/TFG/Docs/01-introducción.tex                                                             | LaTeX              |        211 |          1 |         59 |        271 |
| /home/dev/TFG/Docs/02-capítulo2.tex                                                                | LaTeX              |        154 |          7 |         54 |        215 |
| /home/dev/TFG/Docs/03-capítulo3.tex                                                                | LaTeX              |        171 |          6 |         28 |        205 |
| /home/dev/TFG/Docs/04-capítulo4.tex                                                                | LaTeX              |        107 |          0 |         28 |        135 |
| /home/dev/TFG/Docs/05-conclusiones.tex                                                             | LaTeX              |          3 |          0 |          1 |          4 |
| /home/dev/TFG/Docs/05-implementacion.tex                                                           | LaTeX              |          2 |          1 |          2 |          5 |
| /home/dev/TFG/Docs/06-conclusions.tex                                                              | LaTeX              |          3 |          0 |          1 |          4 |
| /home/dev/TFG/Docs/06-pruebas.tex                                                                  | LaTeX              |          2 |          1 |          2 |          5 |
| /home/dev/TFG/Docs/07-presupuesto.tex                                                              | LaTeX              |         50 |          0 |          6 |         56 |
| /home/dev/TFG/Docs/0A-apéndice1.tex                                                                | LaTeX              |         74 |          0 |         16 |         90 |
| /home/dev/TFG/Docs/0B-apéndice2.tex                                                                | LaTeX              |          6 |          0 |          2 |          8 |
| /home/dev/TFG/Docs/DATOS_MERCADO.md                                                                | Markdown           |        133 |          0 |         49 |        182 |
| /home/dev/TFG/Docs/PLAN_REDACCION.md                                                               | Markdown           |        300 |          0 |         95 |        395 |
| /home/dev/TFG/Docs/README.md                                                                       | Markdown           |         45 |          0 |         44 |         89 |
| /home/dev/TFG/Docs/TO_FIX.md                                                                       | Markdown           |          6 |          0 |          8 |         14 |
| /home/dev/TFG/Docs/memtfg.log                                                                      | log                |      2,120 |          0 |        174 |      2,294 |
| /home/dev/TFG/Docs/memtfg.run.xml                                                                  | XML                |         83 |          3 |          1 |         87 |
| /home/dev/TFG/Docs/memtfg.tex                                                                      | LaTeX              |        263 |         62 |         70 |        395 |
| /home/dev/TFG/Docs/referencias.bib                                                                 | BibTeX             |        272 |          0 |         33 |        305 |
| /home/dev/TFG/Docs/settings/listings.tex                                                           | LaTeX              |        104 |          4 |          5 |        113 |
| /home/dev/TFG/README.md                                                                            | Markdown           |        114 |          0 |         27 |        141 |
| /home/dev/TFG/android/app/build.gradle                                                             | Groovy             |         47 |          2 |          6 |         55 |
| /home/dev/TFG/android/app/capacitor.build.gradle                                                   | Groovy             |         19 |          1 |          6 |         26 |
| /home/dev/TFG/android/app/src/androidTest/java/com/getcapacitor/myapp/ExampleInstrumentedTest.java | Java               |         15 |          6 |          6 |         27 |
| /home/dev/TFG/android/app/src/main/AndroidManifest.xml                                             | XML                |         31 |          1 |          4 |         36 |
| /home/dev/TFG/android/app/src/main/java/com/parky/app/MainActivity.java                            | Java               |          3 |          0 |          3 |          6 |
| /home/dev/TFG/android/app/src/main/res/drawable-v24/ic_launcher_foreground.xml                     | XML                |         34 |          0 |          1 |         35 |
| /home/dev/TFG/android/app/src/main/res/drawable/ic_launcher_background.xml                         | XML                |        170 |          0 |          1 |        171 |
| /home/dev/TFG/android/app/src/main/res/layout/activity_main.xml                                    | XML                |         11 |          0 |          2 |         13 |
| /home/dev/TFG/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml                           | XML                |          9 |          0 |          0 |          9 |
| /home/dev/TFG/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml                     | XML                |          9 |          0 |          0 |          9 |
| /home/dev/TFG/android/app/src/main/res/values/ic_launcher_background.xml                           | XML                |          4 |          0 |          0 |          4 |
| /home/dev/TFG/android/app/src/main/res/values/strings.xml                                          | XML                |          7 |          0 |          1 |          8 |
| /home/dev/TFG/android/app/src/main/res/values/styles.xml                                           | XML                |         16 |          2 |          4 |         22 |
| /home/dev/TFG/android/app/src/main/res/xml/file_paths.xml                                          | XML                |          5 |          0 |          0 |          5 |
| /home/dev/TFG/android/app/src/test/java/com/getcapacitor/myapp/ExampleUnitTest.java                | Java               |          9 |          5 |          5 |         19 |
| /home/dev/TFG/android/build.gradle                                                                 | Groovy             |         20 |          3 |          7 |         30 |
| /home/dev/TFG/android/capacitor.settings.gradle                                                    | Groovy             |         16 |          1 |          8 |         25 |
| /home/dev/TFG/android/gradle.properties                                                            | Properties         |          2 |         15 |          6 |         23 |
| /home/dev/TFG/android/gradle/wrapper/gradle-wrapper.properties                                     | Properties         |          7 |          0 |          1 |          8 |
| /home/dev/TFG/android/gradlew.bat                                                                  | Batch              |         41 |         32 |         22 |         95 |
| /home/dev/TFG/android/settings.gradle                                                              | Groovy             |          4 |          0 |          1 |          5 |
| /home/dev/TFG/android/variables.gradle                                                             | Groovy             |         16 |          0 |          0 |         16 |
| /home/dev/TFG/capacitor.config.ts                                                                  | TypeScript         |         16 |          0 |          3 |         19 |
| /home/dev/TFG/index.html                                                                           | HTML               |         13 |          0 |          3 |         16 |
| /home/dev/TFG/package.json                                                                         | JSON               |         99 |          0 |          1 |        100 |
| /home/dev/TFG/postcss.config.js                                                                    | JavaScript         |          5 |          0 |          0 |          5 |
| /home/dev/TFG/public/car.svg                                                                       | XML                |          9 |          0 |          1 |         10 |
| /home/dev/TFG/public/favicon.svg                                                                   | XML                |          9 |          0 |          1 |         10 |
| /home/dev/TFG/src/App.tsx                                                                          | TypeScript JSX     |         59 |          0 |          7 |         66 |
| /home/dev/TFG/src/core/router/routes.tsx                                                           | TypeScript JSX     |         47 |          3 |          6 |         56 |
| /home/dev/TFG/src/features/auth/components/AuthCallback.tsx                                        | TypeScript JSX     |         58 |          3 |         10 |         71 |
| /home/dev/TFG/src/features/auth/context/AuthContext.tsx                                            | TypeScript JSX     |        207 |         71 |         43 |        321 |
| /home/dev/TFG/src/features/auth/index.ts                                                           | TypeScript         |         23 |          7 |          5 |         35 |
| /home/dev/TFG/src/features/auth/services/auth.service.ts                                           | TypeScript         |        289 |         80 |         56 |        425 |
| /home/dev/TFG/src/features/auth/types/auth.types.ts                                                | TypeScript         |         50 |          9 |         11 |         70 |
| /home/dev/TFG/src/features/booking/components/BookingDetailsForm.tsx                               | TypeScript JSX     |        166 |          1 |         18 |        185 |
| /home/dev/TFG/src/features/booking/components/BookingProcess.tsx                                   | TypeScript JSX     |        126 |          5 |         14 |        145 |
| /home/dev/TFG/src/features/booking/components/BookingStepper.tsx                                   | TypeScript JSX     |         54 |          1 |          6 |         61 |
| /home/dev/TFG/src/features/booking/components/BookingSuccess.tsx                                   | TypeScript JSX     |        112 |          0 |          8 |        120 |
| /home/dev/TFG/src/features/booking/components/BookingSummary.tsx                                   | TypeScript JSX     |        106 |          0 |         10 |        116 |
| /home/dev/TFG/src/features/booking/components/PaymentDetails.tsx                                   | TypeScript JSX     |         82 |          0 |         10 |         92 |
| /home/dev/TFG/src/features/booking/components/SmartAccessModal.tsx                                 | TypeScript JSX     |        191 |          7 |         28 |        226 |
| /home/dev/TFG/src/features/booking/hooks/useBookingFlow.ts                                         | TypeScript         |        147 |          6 |         22 |        175 |
| /home/dev/TFG/src/features/booking/hooks/useSpotBookings.ts                                        | TypeScript         |         36 |          0 |          4 |         40 |
| /home/dev/TFG/src/features/booking/index.ts                                                        | TypeScript         |          4 |          0 |          1 |          5 |
| /home/dev/TFG/src/features/booking/services/booking.dal.ts                                         | TypeScript         |        160 |         26 |         23 |        209 |
| /home/dev/TFG/src/features/booking/services/booking.service.ts                                     | TypeScript         |         78 |         25 |         18 |        121 |
| /home/dev/TFG/src/features/booking/services/pricing.service.ts                                     | TypeScript         |         32 |         12 |         10 |         54 |
| /home/dev/TFG/src/features/booking/services/smartAccess.dal.ts                                     | TypeScript         |         21 |          4 |          3 |         28 |
| /home/dev/TFG/src/features/booking/services/smartAccess.service.ts                                 | TypeScript         |         47 |          2 |          9 |         58 |
| /home/dev/TFG/src/features/booking/types/booking.types.ts                                          | TypeScript         |         41 |          3 |          6 |         50 |
| /home/dev/TFG/src/features/parking/components/FilterDrawer.tsx                                     | TypeScript JSX     |        306 |         11 |         21 |        338 |
| /home/dev/TFG/src/features/parking/components/FilterSidebar.tsx                                    | TypeScript JSX     |        225 |          8 |         12 |        245 |
| /home/dev/TFG/src/features/parking/components/Filters.tsx                                          | TypeScript JSX     |         28 |          0 |          4 |         32 |
| /home/dev/TFG/src/features/parking/components/GarageCard.tsx                                       | TypeScript JSX     |        206 |          1 |         11 |        218 |
| /home/dev/TFG/src/features/parking/components/GarageDetailModal.tsx                                | TypeScript JSX     |        151 |          2 |         19 |        172 |
| /home/dev/TFG/src/features/parking/components/MapView.tsx                                          | TypeScript JSX     |        287 |          7 |         29 |        323 |
| /home/dev/TFG/src/features/parking/components/MapViewHeader.tsx                                    | TypeScript JSX     |         69 |          0 |          6 |         75 |
| /home/dev/TFG/src/features/parking/components/ParkingDetail.tsx                                    | TypeScript JSX     |        142 |          6 |         18 |        166 |
| /home/dev/TFG/src/features/parking/components/ParkingMap.tsx                                       | TypeScript JSX     |        170 |          5 |         20 |        195 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingBookingCard.tsx                        | TypeScript JSX     |        379 |          9 |         37 |        425 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingFeatures.tsx                           | TypeScript JSX     |         52 |          0 |          6 |         58 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingGallery.tsx                            | TypeScript JSX     |         70 |          0 |         10 |         80 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingHeader.tsx                             | TypeScript JSX     |         39 |          0 |          5 |         44 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingOwnerCard.tsx                          | TypeScript JSX     |         89 |          0 |          9 |         98 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingOwnerPanel.tsx                         | TypeScript JSX     |         95 |         10 |         12 |        117 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingReviews.tsx                            | TypeScript JSX     |         71 |          0 |          6 |         77 |
| /home/dev/TFG/src/features/parking/context/FilterContext.tsx                                       | TypeScript JSX     |        103 |          1 |         16 |        120 |
| /home/dev/TFG/src/features/parking/hooks/useGarageReviews.ts                                       | TypeScript         |         13 |          0 |          2 |         15 |
| /home/dev/TFG/src/features/parking/hooks/useGarages.ts                                             | TypeScript         |         11 |          0 |          2 |         13 |
| /home/dev/TFG/src/features/parking/hooks/useParkingSpot.ts                                         | TypeScript         |         14 |          0 |          2 |         16 |
| /home/dev/TFG/src/features/parking/index.ts                                                        | TypeScript         |         14 |          8 |          6 |         28 |
| /home/dev/TFG/src/features/parking/services/parking.dal.ts                                         | TypeScript         |        251 |         35 |         46 |        332 |
| /home/dev/TFG/src/features/parking/services/parking.service.ts                                     | TypeScript         |        253 |         42 |         33 |        328 |
| /home/dev/TFG/src/features/parking/types/parking.types.ts                                          | TypeScript         |         86 |          3 |          7 |         96 |
| /home/dev/TFG/src/features/parking/utils/mapUtils.ts                                               | TypeScript         |         36 |          1 |          5 |         42 |
| /home/dev/TFG/src/features/parking/utils/parkingFilters.ts                                         | TypeScript         |         61 |          7 |         15 |         83 |
| /home/dev/TFG/src/features/parking/utils/schedule.utils.ts                                         | TypeScript         |         25 |          0 |          8 |         33 |
| /home/dev/TFG/src/features/profile/components/AvatarUploader.tsx                                   | TypeScript JSX     |         77 |          4 |         14 |         95 |
| /home/dev/TFG/src/features/profile/components/GarageImageUploader.tsx                              | TypeScript JSX     |        124 |          8 |         20 |        152 |
| /home/dev/TFG/src/features/profile/components/OwnerProfile.tsx                                     | TypeScript JSX     |        217 |          8 |         22 |        247 |
| /home/dev/TFG/src/features/profile/components/UserProfile.tsx                                      | TypeScript JSX     |        147 |          8 |         20 |        175 |
| /home/dev/TFG/src/features/profile/components/owner/AddSpotForm.tsx                                | TypeScript JSX     |        289 |          5 |         26 |        320 |
| /home/dev/TFG/src/features/profile/components/owner/AddSpotToGarageModal.tsx                       | TypeScript JSX     |        137 |          0 |         13 |        150 |
| /home/dev/TFG/src/features/profile/components/owner/EditGarageModal.tsx                            | TypeScript JSX     |        341 |          2 |         24 |        367 |
| /home/dev/TFG/src/features/profile/components/owner/ManagedGarages.tsx                             | TypeScript JSX     |        321 |          6 |         21 |        348 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerBookingsTab.tsx                           | TypeScript JSX     |        209 |         18 |         28 |        255 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerDashboardTab.tsx                          | TypeScript JSX     |         48 |          4 |          7 |         59 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerReviewsTab.tsx                            | TypeScript JSX     |        143 |          4 |         14 |        161 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerStatsRow.tsx                              | TypeScript JSX     |         46 |          0 |          4 |         50 |
| /home/dev/TFG/src/features/profile/components/owner/SpotFavoritesUsers.tsx                         | TypeScript JSX     |         13 |          1 |          4 |         18 |
| /home/dev/TFG/src/features/profile/components/owner/SpotScheduleEditor.tsx                         | TypeScript JSX     |        163 |          6 |         19 |        188 |
| /home/dev/TFG/src/features/profile/components/owner/TenantActivitySidebar.tsx                      | TypeScript JSX     |         82 |          0 |          6 |         88 |
| /home/dev/TFG/src/features/profile/components/shared/ProfileSkeletonLoaders.tsx                    | TypeScript JSX     |         82 |          2 |          7 |         91 |
| /home/dev/TFG/src/features/profile/components/user/BookingHistory.tsx                              | TypeScript JSX     |        270 |          8 |         20 |        298 |
| /home/dev/TFG/src/features/profile/components/user/FavoritesList.tsx                               | TypeScript JSX     |         59 |          0 |          3 |         62 |
| /home/dev/TFG/src/features/profile/components/user/ProfileAccountSettings.tsx                      | TypeScript JSX     |        125 |          2 |         14 |        141 |
| /home/dev/TFG/src/features/profile/components/user/ProfileSidebar.tsx                              | TypeScript JSX     |         94 |          3 |          7 |        104 |
| /home/dev/TFG/src/features/profile/components/user/ReviewModal.tsx                                 | TypeScript JSX     |        119 |          2 |         14 |        135 |
| /home/dev/TFG/src/features/profile/hooks/useFavorites.ts                                           | TypeScript         |         35 |          0 |          6 |         41 |
| /home/dev/TFG/src/features/profile/hooks/useProfileData.ts                                         | TypeScript         |         70 |          2 |         10 |         82 |
| /home/dev/TFG/src/features/profile/index.ts                                                        | TypeScript         |          2 |          4 |          2 |          8 |
| /home/dev/TFG/src/features/profile/services/favorites.dal.ts                                       | TypeScript         |         71 |          0 |         11 |         82 |
| /home/dev/TFG/src/features/profile/services/favorites.service.ts                                   | TypeScript         |         46 |          0 |         10 |         56 |
| /home/dev/TFG/src/features/profile/services/profile.dal.ts                                         | TypeScript         |         94 |         22 |         18 |        134 |
| /home/dev/TFG/src/features/profile/services/profile.service.ts                                     | TypeScript         |         80 |         23 |         21 |        124 |
| /home/dev/TFG/src/main.tsx                                                                         | TypeScript JSX     |         10 |          1 |          2 |         13 |
| /home/dev/TFG/src/mobile/components/MobileBottomNav.tsx                                            | TypeScript JSX     |         41 |         15 |          7 |         63 |
| /home/dev/TFG/src/mobile/haptics.ts                                                                | TypeScript         |         19 |         48 |          5 |         72 |
| /home/dev/TFG/src/mobile/index.ts                                                                  | TypeScript         |          6 |         21 |          7 |         34 |
| /home/dev/TFG/src/mobile/keyboard.ts                                                               | TypeScript         |         22 |         44 |          8 |         74 |
| /home/dev/TFG/src/mobile/platform.ts                                                               | TypeScript         |         17 |         43 |          9 |         69 |
| /home/dev/TFG/src/mobile/splash.ts                                                                 | TypeScript         |         14 |         38 |          6 |         58 |
| /home/dev/TFG/src/mobile/status-bar.ts                                                             | TypeScript         |         24 |         35 |         10 |         69 |
| /home/dev/TFG/src/mobile/storage.ts                                                                | TypeScript         |         20 |         49 |          6 |         75 |
| /home/dev/TFG/src/pages/auth/AuthCallbackPage.tsx                                                  | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/auth/LoginPage.tsx                                                         | TypeScript JSX     |        180 |         11 |         21 |        212 |
| /home/dev/TFG/src/pages/auth/SignUpPage.tsx                                                        | TypeScript JSX     |        321 |          9 |         37 |        367 |
| /home/dev/TFG/src/pages/booking/BookingPage.tsx                                                    | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/errors/ErrorPage.tsx                                                       | TypeScript JSX     |         82 |         10 |          8 |        100 |
| /home/dev/TFG/src/pages/home/HomePage.tsx                                                          | TypeScript JSX     |        760 |         36 |         61 |        857 |
| /home/dev/TFG/src/pages/index.ts                                                                   | TypeScript         |          9 |          5 |          5 |         19 |
| /home/dev/TFG/src/pages/parking/MapViewPage.tsx                                                    | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/parking/ParkingDetailPage.tsx                                              | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/profile/OwnerProfilePage.tsx                                               | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/profile/UserProfilePage.tsx                                                | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/shared/components/ErrorBoundary.tsx                                              | TypeScript JSX     |         44 |          0 |          7 |         51 |
| /home/dev/TFG/src/shared/components/LocationLink.tsx                                               | TypeScript JSX     |         36 |          0 |          4 |         40 |
| /home/dev/TFG/src/shared/components/auth/ProtectedRoute.tsx                                        | TypeScript JSX     |         21 |          9 |          7 |         37 |
| /home/dev/TFG/src/shared/components/auth/PublicRoute.tsx                                           | TypeScript JSX     |         16 |          4 |          6 |         26 |
| /home/dev/TFG/src/shared/components/calendar/BookingTimeline.tsx                                   | TypeScript JSX     |        260 |         16 |         34 |        310 |
| /home/dev/TFG/src/shared/components/layout/Header.tsx                                              | TypeScript JSX     |        228 |          4 |         14 |        246 |
| /home/dev/TFG/src/shared/components/layout/MainLayout.tsx                                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /home/dev/TFG/src/shared/components/layout/MobileNavbar.tsx                                        | TypeScript JSX     |         32 |          0 |          4 |         36 |
| /home/dev/TFG/src/shared/components/loaders/AnimatedLoader.tsx                                     | TypeScript JSX     |        185 |         11 |         10 |        206 |
| /home/dev/TFG/src/shared/components/loaders/AuthSkeleton.tsx                                       | TypeScript JSX     |         30 |          5 |          4 |         39 |
| /home/dev/TFG/src/shared/components/loaders/FullScreenLoader.tsx                                   | TypeScript JSX     |         16 |          3 |          3 |         22 |
